"","Gene_ID","logFC","logCPM","LR","PValue","FDR","Sig","Time_hrs","Symbol","primary"
"1","AT2G34600",2.735056839,2.761097624,31.45227545,2.04e-08,1.23e-05,"Yes",0.25,"JAZ7",TRUE
"2","AT1G19180",1.955455624,7.509599544,22.17967646,2.48e-06,0.000784551,"Yes",0.25,"AtJAZ1",TRUE
"3","AT1G30135",4.352057476,-0.942951008,20.91792051,4.79e-06,0.001207999,"Yes",0.25,"JAZ8",TRUE
"4","AT1G74950",1.171911833,6.276308486,11.81142622,0.000588683,0.03498184,"Yes",0.25,"JAZ2",TRUE
"5","AT1G17380",2.453540938,2.679467215,10.38522212,0.001270279,0.054381602,"No",0.25,"JAZ5",TRUE
"6","AT3G22275",2.16894756,-0.972729829,7.987972916,0.004708911,0.123018749,"No",0.25,"JAZ13",TRUE
"7","AT1G72450",1.09741814,4.973352078,6.687851535,0.009707212,0.178901223,"No",0.25,"JAZ6",TRUE
"8","AT1G48500",-0.373677867,2.290797171,1.075202024,0.299773381,0.771621307,"No",0.25,"AtJAZ4",TRUE
"9","AT3G43440",-0.06726554,3.786262789,0.230501695,0.631152079,0.925360741,"No",0.25,"JAZ11",FALSE
"10","AT1G70700",0.166127132,6.399055621,0.19622854,0.657782438,0.931262001,"No",0.25,"JAZ9",TRUE
"11","AT5G20900",-0.051988785,5.81969374,0.138983835,0.709293315,0.943830963,"No",0.25,"JAZ12",TRUE
"12","AT1G30135",5.011836124,-0.942951008,27.87649178,1.29e-07,2.83e-05,"Yes",0.5,"JAZ8",TRUE
"13","AT1G19180",2.15133851,7.509599544,26.32271509,2.89e-07,5.99e-05,"Yes",0.5,"AtJAZ1",TRUE
"14","AT2G34600",2.418445274,2.761097624,25.01674404,5.68e-07,0.000107753,"Yes",0.5,"JAZ7",TRUE
"15","AT1G74950",1.708501839,6.276308486,24.21729088,8.61e-07,0.000157167,"Yes",0.5,"JAZ2",TRUE
"16","AT1G72450",2.107930408,4.973352078,23.1965769,1.46e-06,0.000246741,"Yes",0.5,"JAZ6",TRUE
"17","AT1G17380",2.626032768,2.679467215,11.76648322,0.000603068,0.034105899,"Yes",0.5,"JAZ5",TRUE
"18","AT3G22275",2.557477727,-0.972729829,11.59114298,0.000662667,0.036441177,"Yes",0.5,"JAZ13",TRUE
"19","AT1G70700",1.036386267,6.399055621,7.507132305,0.006145514,0.180174887,"No",0.5,"JAZ9",TRUE
"20","AT1G48500",0.421085929,2.290797171,1.404735937,0.235932227,0.999666642,"No",0.5,"AtJAZ4",TRUE
"21","AT3G43440",-0.141617919,3.786262789,1.022270803,0.311980973,0.999666642,"No",0.5,"JAZ11",FALSE
"22","AT5G20900",0.054547795,5.81969374,0.15341437,0.695293587,0.999666642,"No",0.5,"JAZ12",TRUE
"23","AT1G48500",2.056678126,2.290797171,31.88252658,1.64e-08,1.76e-06,"Yes",1,"AtJAZ4",TRUE
"24","AT1G70700",2.163455946,6.399055621,30.58464246,3.2e-08,3.25e-06,"Yes",1,"JAZ9",TRUE
"25","AT1G30135",4.255699994,-0.942951008,19.84405424,8.4e-06,0.000450852,"Yes",1,"JAZ8",TRUE
"26","AT1G74950",1.377053628,6.276308486,16.0794914,6.07e-05,0.002529533,"Yes",1,"JAZ2",TRUE
"27","AT1G19180",1.426173042,7.509599544,12.18388233,0.000482042,0.013772742,"Yes",1,"AtJAZ1",TRUE
"28","AT1G17380",2.516200391,2.679467215,10.96582096,0.000928078,0.022837148,"Yes",1,"JAZ5",TRUE
"29","AT1G72450",1.179595182,4.973352078,7.707801415,0.005498268,0.091229986,"No",1,"JAZ6",TRUE
"30","AT2G34600",1.201434434,2.761097624,6.541841566,0.010536622,0.15065655,"No",1,"JAZ7",TRUE
"31","AT3G22275",1.599933536,-0.972729829,4.108981316,0.042656048,0.386994187,"No",1,"JAZ13",TRUE
"32","AT5G20900",0.207360442,5.81969374,2.21785636,0.136422362,0.705174869,"No",1,"JAZ12",TRUE
"33","AT3G43440",-0.090434267,3.786262789,0.416288532,0.518794828,0.970691204,"No",1,"JAZ11",FALSE
"34","AT1G70700",3.005992615,6.399055621,56.10986583,6.85e-14,1.59e-11,"Yes",2,"JAZ9",TRUE
"35","AT1G74950",1.614859693,6.276308486,21.90810121,2.86e-06,9.49e-05,"Yes",2,"JAZ2",TRUE
"36","AT1G17380",3.376878094,2.679467215,18.69456881,1.53e-05,0.000398709,"Yes",2,"JAZ5",TRUE
"37","AT1G19180",1.671509162,7.509599544,16.53088086,4.79e-05,0.00103344,"Yes",2,"AtJAZ1",TRUE
"38","AT3G22275",2.683584105,-0.972729829,12.6923965,0.000367145,0.005507735,"Yes",2,"JAZ13",TRUE
"39","AT1G48500",1.019092939,2.290797171,8.177174629,0.004242078,0.036812141,"Yes",2,"AtJAZ4",TRUE
"40","AT1G72450",1.138876412,4.973352078,7.241601673,0.007123341,0.054151305,"No",2,"JAZ6",TRUE
"41","AT1G30135",2.03246393,-0.942951008,3.880014872,0.048864125,0.202914063,"No",2,"JAZ8",TRUE
"42","AT2G34600",0.864783051,2.761097624,3.402320638,0.065104765,0.242870267,"No",2,"JAZ7",TRUE
"43","AT5G20900",0.252360307,5.81969374,3.280848042,0.070092702,0.253881992,"No",2,"JAZ12",TRUE
"44","AT3G43440",-0.24583847,3.786262789,3.045472922,0.080962532,0.276263475,"No",2,"JAZ11",FALSE
"45","AT1G70700",2.821558683,6.399055621,50.24120768,1.36e-12,2.26e-09,"Yes",4,"JAZ9",TRUE
"46","AT1G17380",3.684283672,2.679467215,21.84605414,2.95e-06,0.000374586,"Yes",4,"JAZ5",TRUE
"47","AT1G19180",1.816660834,7.509599544,19.35971286,1.08e-05,0.001016639,"Yes",4,"AtJAZ1",TRUE
"48","AT1G74950",1.495632657,6.276308486,18.91600876,1.37e-05,0.001230465,"Yes",4,"JAZ2",TRUE
"49","AT3G22275",2.709548047,-0.972729829,13.05805384,0.000301983,0.011582999,"Yes",4,"JAZ13",TRUE
"50","AT1G72450",1.311594853,4.973352078,9.555877033,0.001993103,0.043205434,"Yes",4,"JAZ6",TRUE
"51","AT1G30135",2.887514233,-0.942951008,8.43536506,0.00367993,0.064543054,"No",4,"JAZ8",TRUE
"52","AT2G34600",1.366987433,2.761097624,8.410524506,0.00373055,0.065201108,"No",4,"JAZ7",TRUE
"53","AT5G20900",0.243643853,5.81969374,3.064962292,0.079997019,0.386177372,"No",4,"JAZ12",TRUE
"54","AT1G48500",0.24653285,2.290797171,0.479275521,0.488750659,0.824133896,"No",4,"AtJAZ4",TRUE
"55","AT3G43440",-0.08055356,3.786262789,0.331270277,0.564912059,0.864123586,"No",4,"JAZ11",FALSE
"56","AT1G70700",3.251394502,6.399055621,64.37956163,1.03e-15,2.92e-12,"Yes",8,"JAZ9",TRUE
"57","AT1G17380",4.752316396,2.679467215,33.98029222,5.57e-09,2.13e-06,"Yes",8,"JAZ5",TRUE
"58","AT1G74950",1.800081041,6.276308486,27.13923799,1.89e-07,4.49e-05,"Yes",8,"JAZ2",TRUE
"59","AT1G19180",2.041497263,7.509599544,24.3980337,7.83e-07,0.00014997,"Yes",8,"AtJAZ1",TRUE
"60","AT3G22275",3.08490302,-0.972729829,16.54853175,4.74e-05,0.003680219,"Yes",8,"JAZ13",TRUE
"61","AT1G72450",1.715492514,4.973352078,16.17953123,5.76e-05,0.004140462,"Yes",8,"JAZ6",TRUE
"62","AT2G34600",1.483790085,2.761097624,9.863694549,0.001685722,0.047599542,"Yes",8,"JAZ7",TRUE
"63","AT1G30135",3.04172889,-0.942951008,9.371280821,0.002204115,0.057173742,"No",8,"JAZ8",TRUE
"64","AT5G20900",0.348404252,5.81969374,6.240525567,0.012485942,0.174518843,"No",8,"JAZ12",TRUE
"65","AT1G48500",0.53148862,2.290797171,2.224581774,0.135829434,0.59875034,"No",8,"AtJAZ4",TRUE
"66","AT3G43440",-0.062755182,3.786262789,0.198412762,0.656005081,0.926636851,"No",8,"JAZ11",FALSE
"67","AT1G70700",3.692706878,6.399055621,80.11053309,3.54e-19,7.83e-16,"Yes",12,"JAZ9",TRUE
"68","AT1G74950",2.271015921,6.276308486,41.96364076,9.3e-11,2.01e-08,"Yes",12,"JAZ2",TRUE
"69","AT1G17380",4.926867507,2.679467215,36.08839777,1.89e-09,3.24e-07,"Yes",12,"JAZ5",TRUE
"70","AT1G19180",2.306565289,7.509599544,30.57372812,3.21e-08,3.39e-06,"Yes",12,"AtJAZ1",TRUE
"71","AT3G22275",3.570022904,-0.972729829,23.36323154,1.34e-06,7.69e-05,"Yes",12,"JAZ13",TRUE
"72","AT1G72450",2.003505984,4.973352078,21.69344184,3.2e-06,0.000155315,"Yes",12,"JAZ6",TRUE
"73","AT2G34600",2.177547944,2.761097624,20.94823123,4.72e-06,0.000210614,"Yes",12,"JAZ7",TRUE
"74","AT5G20900",0.507370801,5.81969374,13.25947039,0.000271206,0.006142044,"Yes",12,"JAZ12",TRUE
"75","AT1G30135",3.167224734,-0.942951008,10.2039328,0.001401415,0.02246011,"Yes",12,"JAZ8",TRUE
"76","AT1G48500",0.269617824,2.290797171,0.573678639,0.448800815,0.769009552,"No",12,"AtJAZ4",TRUE
"77","AT3G43440",0.048759443,3.786262789,0.121197632,0.727739174,0.910166635,"No",12,"JAZ11",FALSE
"78","AT1G70700",4.239471227,6.399055621,100.3150133,1.3e-23,1.73e-20,"Yes",24,"JAZ9",TRUE
"79","AT1G74950",2.477011971,6.276308486,49.14208284,2.38e-12,2.23e-10,"Yes",24,"JAZ2",TRUE
"80","AT1G17380",5.786698657,2.679467215,46.29268956,1.02e-11,7.83e-10,"Yes",24,"JAZ5",TRUE
"81","AT5G20900",0.803356426,5.81969374,33.07546356,8.87e-09,2.82e-07,"Yes",24,"JAZ12",TRUE
"82","AT1G19180",2.336550927,7.509599544,31.29310491,2.22e-08,6.32e-07,"Yes",24,"AtJAZ1",TRUE
"83","AT1G72450",2.428292161,4.973352078,30.97409349,2.61e-08,7.32e-07,"Yes",24,"JAZ6",TRUE
"84","AT2G34600",2.620574252,2.761097624,29.66941521,5.12e-08,1.3e-06,"Yes",24,"JAZ7",TRUE
"85","AT1G30135",4.639551355,-0.942951008,22.89485923,1.71e-06,2.85e-05,"Yes",24,"JAZ8",TRUE
"86","AT3G22275",3.525465898,-0.972729829,22.69186041,1.9e-06,3.12e-05,"Yes",24,"JAZ13",TRUE
"87","AT3G43440",0.123959119,3.786262789,0.783178505,0.376170799,0.55431364,"No",24,"JAZ11",FALSE
"88","AT1G48500",-0.007458428,2.290797171,0.000435388,0.983352581,0.991420604,"No",24,"AtJAZ4",TRUE
